Site,Latitude,Longitude,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ARIK,39.75821,-102.44715,125.0175439,94.9782403,129.7333333,207.6944444,80.39948454,113.0618557,265.3826087,595.1686957,1446.42268,2020.956522,374.4298246,94.59649123
BIGC,37.05972,-119.25755,45.28270042,31.93298969,33.15740741,22.90277778,21.67826087,34.83247423,29.12347826,47.38695652,30.33391304,31.83652174,30.93913043,54.092827
BLDE,44.95011,-110.58715,18.58434783,67.21043478,26.62962963,40.16666667,55.16666667,45.2371134,56.8685567,60.96649485,23.98148148,60,35.71308017,22.79639175
BLUE,34.44422,-96.6242,599.5408696,544.7895652,68.57407407,235.25,116.4208696,96.02086957,335.5930435,205.9408696,88.87304348,73.51304348,94.6226087,109.0330435
CARI,65.15322,-147.50397,49.5026087,56.82989691,42.64444444,31.80555556,295.5231788,50.87902439,32.00838574,48.97252747,25.14912281,31.40052356,23.63333333,24.59016393
COMO,40.03496,-105.54416,34.88888889,24.14608696,43.62222222,74.49074074,63.45217391,63.57913043,32.79699248,40.62280702,240.1491228,222.2017544,186.6403509,33.15885417
CUPE,18.11352,-66.98676,20.28521739,1010.565789,19.15740741,17.97777778,11.93913043,16.52173913,31.58649789,20.88888889,18.60521739,27.65217391,25.16842105,30.12280702
GUIL,18.17406,-66.79868,24.7826087,975.7962963,876.4603175,26.93333333,32.36521739,39.54782609,33.90350877,468.6842105,164.0765217,102.2713043,88.96842105,38.57894737
HOPB,42.47194,-72.32953,45.6,196.5701754,38.74444444,97.67592593,64.37391304,84.87719298,45.71052632,60.11450382,66.11403509,58.49875622,40.51754386,24.5
KING,39.10506,-96.60383,21.24444444,755.7111111,38.30555556,50.5462963,49.87826087,76.35338346,56.62025316,17.72631579,114.1929825,518.8611111,380.0222222,20.88888889
LECO,35.69043,-83.50379,26.57894737,29.22782609,19.27777778,29.01851852,23.09565217,11.90539262,16.18434783,24.09763314,22.82086957,17.67265847,19,32.98969072
LEWI,39.09564,-77.98322,48.88596491,165.122807,430.3518519,13.23333333,207.1043478,11.77826087,217.9157895,304.0526316,12.83157895,16.64473684,42.56451613,27.70434783
MART,45.79084,-121.93379,25.08421053,20.74561404,16.02777778,14.21111111,14.33043478,20.74683544,20.7826087,31.11652174,28.59130435,20.78608696,16.52631579,18.61403509
MAYF,32.96037,-87.40769,61.80701754,109.8947368,2800.063492,90.79365079,248.3634021,163.7426087,210.4695652,126.0789474,109.6944444,178.3513043,97.9122807,122.8947368
MCDI,38.94586,-96.44302,30.19565217,27.62280702,478.3796296,72.48148148,125.7217391,135.5112782,81.37719298,122.3240741,125.5625,596.5138889,326.807947,40.06751055
MCRA,44.2596,-122.16555,18.03508772,16.70103093,27.46296296,14.17777778,14.70103093,11.60824742,16.98449612,22.69125683,16.58653846,11.16666667,33.22222222,8.504347826
POSE,38.89431,-78.14726,946.6165414,35.10526316,1857.595238,1150.071429,569.9180124,806.5375,843.3984962,656.5701754,152.3684211,99.54736842,2642.796992,2176.026087
PRIN,33.37852,-97.78231,58.78947368,1818.902778,49.53333333,183.4907407,147.1898734,597.5269565,171.8191304,1310.973913,88.01388889,364.8148148,197.2591304,140
REDB,40.78393,-111.79789,56.43130435,35.16666667,19.24603175,31.16666667,18.77777778,12.31304348,9.860869565,8.368695652,15.61403509,20.55652174,11.18987342,25.03797468
WALK,35.95738,-84.27925,34.57043478,30.28947368,21.21296296,21.28888889,15.94782609,18.66165414,27.29824561,20.05263158,17.21097446,24.11403509,14.03216651,18.00877193
WLOU,39.89137,-105.9154,22,13.93518519,24.91666667,18.11111111,25.30434783,29.92481203,18.21052632,19.3773913,51.90350877,96.40695652,27.55263158,28.60363636
